,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
219,2015,12,monza,raikkonen,Finnish,ferrari,2,5,82,0,4,242,2,2,0.23400000000000887,35,0.23400000000000887
216,2015,12,monza,vettel,German,ferrari,3,2,160,2,3,242,2,2,0.2880000000000109,28,0.054000000000002046
231,2015,12,monza,rosberg,German,mercedes,4,17,199,3,2,426,9,1,0.3060000000000116,30,0.018000000000000682
217,2015,12,monza,massa,Brazilian,williams,5,3,82,0,5,161,0,3,0.5430000000000064,34,0.23699999999999477
218,2015,12,monza,bottas,Finnish,williams,6,4,79,0,6,161,0,3,0.730000000000004,26,0.1869999999999976
220,2015,12,monza,perez,Mexican,force_india,7,6,25,0,11,49,0,6,1.2290000000000134,25,0.49900000000000944
233,2015,12,monza,grosjean,French,lotus_f1,8,19,38,0,9,50,0,5,1.6570000000000107,29,0.42799999999999727
221,2015,12,monza,hulkenberg,German,force_india,9,7,24,0,12,49,0,6,1.920000000000016,28,0.26300000000000523
234,2015,12,monza,maldonado,Venezuelan,lotus_f1,10,20,12,0,14,50,0,5,1.1280000000000143,30,-0.7920000000000016
223,2015,12,monza,ericsson,Swedish,sauber,12,9,7,0,17,23,0,8,2.8170000000000073,25,1.688999999999993
229,2015,12,monza,stevens,British,manor,13,15,0,0,20,0,0,10,4.334000000000003,24,1.516999999999996
