,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
2494,2021,6,baku,russell,British,williams,15,17,0,0,17,0,0,9,1.5400000000000063,23,0.17100000000000648
2493,2021,6,baku,latifi,Canadian,williams,16,16,0,0,18,0,0,9,1.9099999999999966,25,0.36999999999999034
2490,2021,6,baku,mick_schumacher,German,haas,17,13,0,0,19,0,0,10,2.9399999999999977,22,1.0300000000000011
2491,2021,6,baku,mazepin,Russian,haas,18,14,0,0,20,0,0,10,3.019999999999996,22,0.0799999999999983
2498,2021,7,ricard,max_verstappen,Dutch,red_bull,1,1,105,2,1,174,3,1,0.0,23,
2499,2021,7,ricard,hamilton,British,mercedes,2,2,101,3,2,148,3,2,0.2580000000000098,36,0.2580000000000098
2501,2021,7,ricard,bottas,Finnish,mercedes,3,4,47,0,6,148,3,2,0.3860000000000099,31,0.1280000000000001
2500,2021,7,ricard,perez,Mexican,red_bull,4,3,69,1,3,174,3,1,0.4549999999999983,31,0.0689999999999884
2508,2021,7,ricard,sainz,Spanish,ferrari,5,11,42,0,7,94,0,3,0.8500000000000085,26,0.39500000000001023
2504,2021,7,ricard,gasly,French,alphatauri,6,7,31,0,8,39,0,5,0.8780000000000001,25,0.027999999999991587
2512,2021,7,ricard,leclerc,Monegasque,ferrari,7,16,52,0,5,94,0,3,0.9969999999999999,23,0.11899999999999977
2502,2021,7,ricard,norris,British,mclaren,8,5,66,0,4,92,0,4,1.2620000000000005,21,0.26500000000000057
2505,2021,7,ricard,alonso,Spanish,alpine,9,8,13,0,11,25,0,7,1.3500000000000085,39,0.08800000000000807
2503,2021,7,ricard,ricciardo,Australian,mclaren,10,6,26,0,10,92,0,4,1.3920000000000101,31,0.04200000000000159
2510,2021,7,ricard,ocon,French,alpine,11,14,12,0,12,25,0,7,1.7460000000000093,24,0.3539999999999992
2506,2021,7,ricard,vettel,German,aston_martin,12,9,28,0,9,37,0,6,1.777000000000001,33,0.0309999999999917
2511,2021,7,ricard,giovinazzi,Italian,alfa,13,15,1,0,16,2,0,8,1.8230000000000075,27,0.04600000000000648
2509,2021,7,ricard,russell,British,williams,14,12,0,0,18,0,0,10,2.075000000000003,23,0.25199999999999534
2514,2021,7,ricard,latifi,Canadian,williams,16,18,0,0,20,0,0,10,3.0720000000000027,25,0.9969999999999999
2513,2021,7,ricard,raikkonen,Finnish,alfa,17,17,1,0,15,2,0,8,3.3640000000000043,41,0.2920000000000016
2516,2021,7,ricard,mazepin,Russian,haas,18,20,0,0,19,0,0,9,3.564000000000007,22,0.20000000000000284
2507,2021,7,ricard,stroll,Canadian,aston_martin,19,10,9,0,13,37,0,6,42.59400000000001,22,39.03
2517,2021,8,red_bull_ring,max_verstappen,Dutch,red_bull,1,1,131,3,1,215,4,1,0.0,23,
2518,2021,8,red_bull_ring,hamilton,British,mercedes,2,2,119,3,2,178,3,2,0.2260000000000062,36,0.2260000000000062
2521,2021,8,red_bull_ring,norris,British,mclaren,3,5,76,0,4,110,0,3,0.27900000000000347,21,0.05299999999999727
2520,2021,8,red_bull_ring,perez,Mexican,red_bull,4,4,84,1,3,215,4,1,0.3270000000000053,31,0.04800000000000182
2519,2021,8,red_bull_ring,bottas,Finnish,mercedes,5,3,59,0,5,178,3,2,0.1939999999999955,31,-0.13300000000000978
2536,2021,8,red_bull_ring,gasly,French,alphatauri,6,20,37,0,8,45,0,5,0.3950000000000031,25,0.20100000000000762
2523,2021,8,red_bull_ring,leclerc,Monegasque,ferrari,7,7,52,0,6,94,0,4,0.6309999999999931,23,0.23599999999999
2525,2021,8,red_bull_ring,alonso,Spanish,alpine,8,9,17,0,11,29,0,7,0.732999999999997,39,0.10200000000000387
2524,2021,8,red_bull_ring,stroll,Canadian,aston_martin,9,8,10,0,13,40,0,6,0.8669999999999973,22,0.13400000000000034
2535,2021,8,red_bull_ring,russell,British,williams,10,19,0,0,17,0,0,9,0.8300000000000054,23,-0.03699999999999193
2526,2021,8,red_bull_ring,tsunoda,Japanese,alphatauri,11,10,8,0,14,45,0,5,0.6729999999999947,21,-0.1570000000000107
2522,2021,8,red_bull_ring,sainz,Spanish,ferrari,12,6,42,0,7,94,0,4,0.9589999999999961,26,0.28600000000000136
2529,2021,8,red_bull_ring,ricciardo,Australian,mclaren,13,13,34,0,9,110,0,3,0.9669999999999916,31,0.007999999999995566
2528,2021,8,red_bull_ring,vettel,German,aston_martin,14,12,30,0,10,40,0,6,1.033999999999999,33,0.06700000000000728
2531,2021,8,red_bull_ring,giovinazzi,Italian,alfa,15,15,1,0,16,2,0,8,1.0719999999999956,27,0.0379999999999967
2533,2021,8,red_bull_ring,latifi,Canadian,williams,16,17,0,0,20,0,0,9,1.333999999999996,25,0.26200000000000045
2530,2021,8,red_bull_ring,ocon,French,alpine,17,14,12,0,12,29,0,7,1.3759999999999977,24,0.04200000000000159
2527,2021,8,red_bull_ring,raikkonen,Finnish,alfa,18,11,1,0,15,2,0,8,1.588000000000001,41,0.2120000000000033
2532,2021,8,red_bull_ring,mick_schumacher,German,haas,19,16,0,0,18,0,0,10,2.1999999999999957,22,0.6119999999999948
2534,2021,8,red_bull_ring,mazepin,Russian,haas,20,18,0,0,19,0,0,10,2.351000000000006,22,0.15100000000001046
2537,2021,9,red_bull_ring,max_verstappen,Dutch,red_bull,1,1,156,4,1,252,5,1,0.0,23,
2539,2021,9,red_bull_ring,norris,British,mclaren,2,3,86,0,4,120,0,3,0.04800000000000182,21,0.04800000000000182
2542,2021,9,red_bull_ring,perez,Mexican,red_bull,3,6,96,1,3,252,5,1,0.2700000000000031,31,0.2220000000000013
2540,2021,9,red_bull_ring,hamilton,British,mercedes,4,4,138,3,2,212,3,2,0.29399999999999693,36,0.023999999999993804
2538,2021,9,red_bull_ring,bottas,Finnish,mercedes,5,2,74,0,5,212,3,2,0.32900000000000773,31,0.0350000000000108
2545,2021,9,red_bull_ring,gasly,French,alphatauri,6,9,37,0,8,46,0,5,0.38700000000000045,25,0.057999999999992724
2548,2021,9,red_bull_ring,tsunoda,Japanese,alphatauri,7,12,9,0,14,46,0,5,0.5529999999999973,21,0.16599999999999682
2547,2021,9,red_bull_ring,russell,British,williams,8,11,0,0,17,0,0,9,0.8709999999999951,23,0.31799999999999784
2549,2021,9,red_bull_ring,stroll,Canadian,aston_martin,9,13,14,0,12,44,0,6,0.8979999999999961,22,0.027000000000001023
2541,2021,9,red_bull_ring,sainz,Spanish,ferrari,10,5,50,0,7,108,0,4,0.8389999999999986,26,-0.0589999999999975
2553,2021,9,red_bull_ring,vettel,German,aston_martin,11,17,30,0,10,44,0,6,0.8499999999999943,34,0.01099999999999568
2544,2021,9,red_bull_ring,leclerc,Monegasque,ferrari,12,8,58,0,6,108,0,4,0.8799999999999955,23,0.030000000000001137
2543,2021,9,red_bull_ring,ricciardo,Australian,mclaren,13,7,34,0,9,120,0,3,0.9989999999999952,32,0.11899999999999977
2546,2021,9,red_bull_ring,alonso,Spanish,alpine,14,10,19,0,11,31,0,7,1.1359999999999957,39,0.13700000000000045
2550,2021,9,red_bull_ring,giovinazzi,Italian,alfa,15,14,1,0,16,2,0,8,1.3629999999999995,27,0.22700000000000387
2551,2021,9,red_bull_ring,raikkonen,Finnish,alfa,16,15,1,0,15,2,0,8,1.2890000000000015,41,-0.07399999999999807
2556,2021,9,red_bull_ring,ocon,French,alpine,17,20,12,0,13,31,0,7,1.331000000000003,24,0.04200000000000159
2552,2021,9,red_bull_ring,latifi,Canadian,williams,18,16,0,0,20,0,0,9,1.4749999999999943,26,0.14399999999999125
2554,2021,9,red_bull_ring,mick_schumacher,German,haas,19,18,0,0,18,0,0,10,1.7069999999999936,22,0.23199999999999932
2555,2021,9,red_bull_ring,mazepin,Russian,haas,20,19,0,0,19,0,0,10,2.2309999999999945,22,0.5240000000000009
2577,2021,11,hungaroring,hamilton,British,mercedes,1,2,177,4,2,285,4,2,0.0,36,
2590,2021,11,hungaroring,bottas,Finnish,mercedes,2,16,108,0,4,285,4,2,0.3149999999999977,31,0.3149999999999977
2584,2021,11,hungaroring,max_verstappen,Dutch,red_bull,3,9,185,5,1,289,6,1,0.4210000000000065,23,0.10600000000000875
2591,2021,11,hungaroring,perez,Mexican,red_bull,4,17,104,1,5,289,6,1,1.0019999999999953,31,0.5809999999999889
2580,2021,11,hungaroring,gasly,French,alphatauri,5,5,39,0,9,49,0,5,1.0640000000000072,25,0.06200000000001182
2589,2021,11,hungaroring,norris,British,mclaren,6,15,113,0,3,163,0,3,1.0700000000000074,21,0.006000000000000227
2592,2021,11,hungaroring,leclerc,Monegasque,ferrari,7,18,80,0,6,148,0,4,1.0769999999999982,23,0.006999999999990791
2576,2021,11,hungaroring,ocon,French,alpine,8,1,14,0,13,40,0,7,1.2339999999999947,24,0.15699999999999648
2579,2021,11,hungaroring,alonso,Spanish,alpine,9,4,26,0,11,40,0,7,1.2960000000000065,40,0.06200000000001182
2594,2021,11,hungaroring,vettel,German,aston_martin,10,20,30,0,10,48,0,6,1.331000000000003,34,0.03499999999999659
2586,2021,11,hungaroring,ricciardo,Australian,mclaren,11,11,50,0,8,163,0,3,1.4519999999999982,32,0.12099999999999511
2593,2021,11,hungaroring,stroll,Canadian,aston_martin,12,19,18,0,12,48,0,6,1.4740000000000038,22,0.02200000000000557
2585,2021,11,hungaroring,raikkonen,Finnish,alfa,13,10,1,0,15,2,0,8,2.144999999999996,41,0.6709999999999923
2581,2021,11,hungaroring,tsunoda,Japanese,alphatauri,16,6,10,0,14,49,0,5,2.5,21,0.355000000000004
2583,2021,11,hungaroring,russell,British,williams,17,8,0,0,17,0,0,9,2.5250000000000057,23,0.025000000000005684
2582,2021,11,hungaroring,latifi,Canadian,williams,18,7,0,0,19,0,0,9,2.6170000000000044,26,0.09199999999999875
2588,2021,11,hungaroring,mazepin,Russian,haas,19,14,0,0,20,0,0,10,3.503,22,0.8859999999999957
2595,2021,12,spa,max_verstappen,Dutch,red_bull,1,1,187,5,2,291,6,2,0.0,23,
2596,2021,12,spa,russell,British,williams,2,2,4,0,16,10,0,8,0.32099999999999795,23,0.32099999999999795
2597,2021,12,spa,hamilton,British,mercedes,3,3,195,4,1,303,4,1,0.3340000000000032,36,0.01300000000000523
2598,2021,12,spa,ricciardo,Australian,mclaren,4,4,50,0,9,163,0,4,1.0990000000000038,32,0.7650000000000006
2599,2021,12,spa,vettel,German,aston_martin,5,5,30,0,12,48,0,7,1.1700000000000017,34,0.07099999999999795
2600,2021,12,spa,gasly,French,alphatauri,6,6,50,0,8,68,0,6,1.399000000000001,25,0.2289999999999992
2601,2021,12,spa,ocon,French,alpine,8,7,39,1,10,77,1,5,3.7480000000000047,24,2.3490000000000038
2602,2021,12,spa,leclerc,Monegasque,ferrari,9,8,80,0,7,163,0,3,-2.043999999999997,23,-5.792000000000002
2603,2021,12,spa,latifi,Canadian,williams,10,9,6,0,15,10,0,8,-1.7090000000000032,26,0.33499999999999375
2604,2021,12,spa,sainz,Spanish,ferrari,11,10,83,0,6,163,0,3,-1.6280000000000001,26,0.08100000000000307
2605,2021,12,spa,alonso,Spanish,alpine,12,11,38,0,11,77,1,5,-1.5600000000000023,40,0.06799999999999784
2606,2021,12,spa,bottas,Finnish,mercedes,13,12,108,0,4,303,4,1,2.7369999999999948,32,4.296999999999997
2607,2021,12,spa,giovinazzi,Italian,alfa,14,13,1,0,18,3,0,9,2.540999999999997,27,-0.19599999999999795
2609,2021,12,spa,tsunoda,Japanese,alphatauri,16,15,18,0,13,68,0,6,2.647999999999996,21,0.10699999999999932
2610,2021,12,spa,mick_schumacher,German,haas,17,16,0,0,19,0,0,10,4.207999999999998,22,1.5600000000000023
2611,2021,12,spa,mazepin,Russian,haas,18,17,0,0,20,0,0,10,5.173999999999992,22,0.965999999999994
2612,2021,12,spa,stroll,Canadian,aston_martin,19,20,18,0,14,48,0,7,-1.534000000000006,22,-6.707999999999998
2613,2021,13,zandvoort,max_verstappen,Dutch,red_bull,1,1,0,6,2,0,7,2,0.0,23,
2614,2021,13,zandvoort,hamilton,British,mercedes,2,2,0,4,1,0,4,1,0.0379999999999967,36,0.0379999999999967
2615,2021,13,zandvoort,bottas,Finnish,mercedes,3,3,108,0,4,0,4,1,0.3369999999999891,32,0.2989999999999924
2616,2021,13,zandvoort,gasly,French,alphatauri,4,4,54,0,9,72,0,6,0.5929999999999893,25,0.2560000000000002
2617,2021,13,zandvoort,leclerc,Monegasque,ferrari,5,5,82,0,7,0,0,4,0.6419999999999959,23,0.049000000000006594
2619,2021,13,zandvoort,sainz,Spanish,ferrari,6,7,0,0,6,0,0,4,0.652000000000001,27,0.010000000000005116
2625,2021,13,zandvoort,giovinazzi,Italian,alfa,7,14,1,0,18,3,0,9,0.7049999999999983,27,0.05299999999999727
2620,2021,13,zandvoort,ocon,French,alpine,8,9,42,1,10,80,1,5,1.0479999999999876,24,0.3429999999999893
2618,2021,13,zandvoort,alonso,Spanish,alpine,9,6,38,0,11,80,1,5,1.070999999999998,40,0.023000000000010346
2622,2021,13,zandvoort,ricciardo,Australian,mclaren,10,11,56,0,8,169,0,3,1.2809999999999917,32,0.20999999999999375
2627,2021,13,zandvoort,russell,British,williams,11,17,13,0,15,20,0,8,1.4469999999999885,23,0.16599999999999682
2623,2021,13,zandvoort,stroll,Canadian,aston_martin,12,12,18,0,14,53,0,7,1.4819999999999993,22,0.0350000000000108
2621,2021,13,zandvoort,norris,British,mclaren,13,10,113,0,3,169,0,3,1.5210000000000008,21,0.03900000000000148
2629,2021,13,zandvoort,tsunoda,Japanese,alphatauri,14,19,18,0,13,72,0,6,2.428999999999988,21,0.907999999999987
2624,2021,13,zandvoort,vettel,German,aston_martin,15,13,35,0,12,53,0,7,1.8459999999999894,34,-0.5829999999999984
2626,2021,13,zandvoort,kubica,Polish,alfa,16,15,0,0,0,3,0,9,2.415999999999997,36,0.5700000000000074
2628,2021,13,zandvoort,mick_schumacher,German,haas,17,18,0,0,19,0,0,10,2.5019999999999953,22,0.08599999999999852
2630,2021,13,zandvoort,mazepin,Russian,haas,18,20,0,0,20,0,0,10,2.989999999999995,22,0.48799999999999955
2655,2021,15,sochi,norris,British,mclaren,1,7,132,0,4,215,1,3,0.0,21,
2651,2021,15,sochi,sainz,Spanish,ferrari,2,3,0,0,7,0,0,4,0.5169999999999959,27,0.5169999999999959
2658,2021,15,sochi,russell,British,williams,3,10,15,0,15,22,0,8,0.9900000000000091,23,0.4730000000000132
2649,2021,15,sochi,hamilton,British,mercedes,4,1,0,4,2,0,4,1,2.057000000000002,36,1.066999999999993
2652,2021,15,sochi,ricciardo,Australian,mclaren,5,4,83,1,8,215,1,3,2.163000000000011,32,0.10600000000000875
2654,2021,15,sochi,alonso,Spanish,alpine,6,6,50,0,10,95,1,5,2.2110000000000127,40,0.04800000000000182
2659,2021,15,sochi,stroll,Canadian,aston_martin,7,11,24,0,13,59,0,7,2.963000000000008,22,0.7519999999999953
2657,2021,15,sochi,perez,Mexican,red_bull,8,9,118,1,5,0,8,2,3.3440000000000083,31,0.3810000000000002
2662,2021,15,sochi,ocon,French,alpine,9,14,45,1,11,95,1,5,3.872000000000014,25,0.5280000000000058
2660,2021,15,sochi,vettel,German,aston_martin,10,12,35,0,12,59,0,7,4.5800000000000125,34,0.7079999999999984
2661,2021,15,sochi,gasly,French,alphatauri,11,13,66,0,9,84,0,6,4.647999999999996,25,0.06799999999998363
2665,2021,15,sochi,tsunoda,Japanese,alphatauri,12,17,18,0,14,84,0,6,4.75800000000001,21,0.11000000000001364
2656,2021,15,sochi,raikkonen,Finnish,alfa,13,8,2,0,17,3,0,9,7.5930000000000035,41,2.8349999999999937
2668,2021,15,sochi,mick_schumacher,German,haas,14,20,0,0,19,0,0,10,7.837000000000003,22,0.24399999999999977
2666,2021,15,sochi,mazepin,Russian,haas,15,18,0,0,21,0,0,10,11.771000000000015,22,3.9340000000000117
2653,2021,15,sochi,bottas,Finnish,mercedes,16,5,141,0,3,0,4,1,2.717000000000013,32,-9.054000000000002
2664,2021,15,sochi,giovinazzi,Italian,alfa,17,16,1,0,18,3,0,9,9.030000000000001,27,6.312999999999988
2669,2021,16,istanbul,bottas,Finnish,mercedes,1,1,151,0,3,0,5,1,0.0,32,
2670,2021,16,istanbul,max_verstappen,Dutch,red_bull,2,2,0,7,2,0,8,2,0.1979999999999933,24,0.1979999999999933
2672,2021,16,istanbul,leclerc,Monegasque,ferrari,3,4,104,0,7,0,0,4,0.2669999999999959,23,0.06900000000000261
2674,2021,16,istanbul,gasly,French,alphatauri,4,6,66,0,9,84,0,6,0.32799999999998875,25,0.06099999999999284
2684,2021,16,istanbul,alonso,Spanish,alpine,5,16,58,0,10,103,1,5,0.4789999999999992,40,0.15100000000001046
2671,2021,16,istanbul,perez,Mexican,red_bull,6,3,120,1,5,0,8,2,0.7079999999999984,31,0.2289999999999992
2675,2021,16,istanbul,norris,British,mclaren,7,7,139,0,4,234,1,3,0.9560000000000031,21,0.24800000000000466
2677,2021,16,istanbul,stroll,Canadian,aston_martin,8,9,24,0,13,59,0,7,1.3070000000000022,22,0.3509999999999991
2682,2021,16,istanbul,tsunoda,Japanese,alphatauri,9,14,18,0,14,84,0,6,1.3699999999999903,21,0.06299999999998818
2686,2021,16,istanbul,vettel,German,aston_martin,10,18,35,0,12,59,0,7,1.796999999999997,34,0.4270000000000067
2673,2021,16,istanbul,hamilton,British,mercedes,11,5,0,5,1,0,5,1,-0.13000000000000966,36,-1.9270000000000067
2678,2021,16,istanbul,ocon,French,alpine,12,10,45,1,11,103,1,5,1.843999999999994,25,1.9740000000000038
2683,2021,16,istanbul,russell,British,williams,13,15,16,0,15,23,0,8,2.0090000000000003,23,0.16500000000000625
2687,2021,16,istanbul,mick_schumacher,German,haas,14,19,0,0,19,0,0,10,2.201999999999998,22,0.19299999999999784
2685,2021,16,istanbul,latifi,Canadian,williams,15,17,7,0,16,23,0,8,3.087999999999994,26,0.8859999999999957
2679,2021,16,istanbul,giovinazzi,Italian,alfa,16,11,1,0,18,7,0,9,3.432000000000002,27,0.3440000000000083
2680,2021,16,istanbul,raikkonen,Finnish,alfa,17,12,6,0,17,7,0,9,4.527000000000001,41,1.0949999999999989
2688,2021,16,istanbul,mazepin,Russian,haas,18,20,0,0,21,0,0,10,5.450999999999993,22,0.9239999999999924
2681,2021,16,istanbul,ricciardo,Australian,mclaren,20,13,95,1,8,234,1,3,2.8829999999999956,32,-2.567999999999998
2689,2021,17,americas,max_verstappen,Dutch,red_bull,1,1,0,7,1,0,8,2,0.0,24,
2690,2021,17,americas,hamilton,British,mercedes,2,2,0,5,2,0,6,1,0.20900000000000318,36,0.20900000000000318
2691,2021,17,americas,perez,Mexican,red_bull,3,3,135,1,5,0,8,2,0.22400000000000375,31,0.015000000000000568
2692,2021,17,americas,leclerc,Monegasque,ferrari,4,4,116,0,7,0,0,4,0.695999999999998,24,0.4719999999999942
2695,2021,17,americas,sainz,Spanish,ferrari,5,7,0,0,6,0,0,4,0.882000000000005,27,0.18600000000000705
2693,2021,17,americas,ricciardo,Australian,mclaren,6,5,95,1,8,240,1,3,0.8979999999999961,32,0.015999999999991132
2696,2021,17,americas,norris,British,mclaren,7,8,145,0,4,240,1,3,0.9770000000000039,21,0.07900000000000773
2708,2021,17,americas,gasly,French,alphatauri,8,20,74,0,9,92,0,6,1.2079999999999984,25,0.23099999999999454
2694,2021,17,americas,bottas,Finnish,mercedes,9,6,177,1,3,0,6,1,0.5649999999999977,32,-0.6430000000000007
2697,2021,17,americas,tsunoda,Japanese,alphatauri,10,9,18,0,14,92,0,6,2.0080000000000098,21,1.443000000000012
2707,2021,17,americas,ocon,French,alpine,11,19,46,1,11,104,1,5,2.467000000000013,25,0.4590000000000032
2699,2021,17,americas,giovinazzi,Italian,alfa,12,11,1,0,18,7,0,9,2.8840000000000003,27,0.4169999999999874
2700,2021,17,americas,stroll,Canadian,aston_martin,13,12,26,0,13,61,0,7,3.0730000000000075,22,0.18900000000000716
2703,2021,17,americas,latifi,Canadian,williams,14,15,7,0,16,23,0,8,3.085000000000008,26,0.012000000000000455
2701,2021,17,americas,raikkonen,Finnish,alfa,15,13,6,0,17,7,0,9,3.4010000000000105,42,0.3160000000000025
2704,2021,17,americas,mick_schumacher,German,haas,16,16,0,0,19,0,0,10,3.5889999999999986,22,0.18799999999998818
2705,2021,17,americas,mazepin,Russian,haas,17,17,0,0,21,0,0,10,3.8859999999999957,22,0.29699999999999704
2698,2021,17,americas,vettel,German,aston_martin,18,10,35,0,12,61,0,7,2.5900000000000034,34,-1.2959999999999923
2706,2021,17,americas,alonso,Spanish,alpine,19,18,58,0,10,104,1,5,11.63900000000001,40,9.049000000000007
2723,2021,18,rodriguez,bottas,Finnish,mercedes,1,15,185,1,3,0,6,1,0.0,32,
2710,2021,18,rodriguez,hamilton,British,mercedes,2,2,0,5,2,0,6,1,0.14499999999999602,36,0.14499999999999602
2709,2021,18,rodriguez,max_verstappen,Dutch,red_bull,3,1,0,8,1,0,9,2,0.3499999999999943,24,0.2049999999999983
2711,2021,18,rodriguez,perez,Mexican,red_bull,4,3,150,1,4,0,9,2,0.46699999999999875,31,0.11700000000000443
2712,2021,18,rodriguez,gasly,French,alphatauri,5,4,74,0,9,94,0,6,0.5810000000000031,25,0.11400000000000432
2714,2021,18,rodriguez,sainz,Spanish,ferrari,6,6,0,0,7,0,0,4,0.8859999999999957,27,0.3049999999999926
2720,2021,18,rodriguez,ricciardo,Australian,mclaren,7,12,105,1,8,254,1,3,0.8880000000000052,32,0.0020000000000095497
2713,2021,18,rodriguez,leclerc,Monegasque,ferrari,8,5,128,0,6,0,0,4,0.9620000000000033,24,0.07399999999999807
2715,2021,18,rodriguez,vettel,German,aston_martin,9,7,36,0,12,62,0,7,1.8709999999999951,34,0.9089999999999918
2716,2021,18,rodriguez,raikkonen,Finnish,alfa,10,8,6,0,17,7,0,9,2.0829999999999984,42,0.2120000000000033
2719,2021,18,rodriguez,giovinazzi,Italian,alfa,11,11,1,0,18,7,0,9,2.414999999999992,27,0.33199999999999363
2717,2021,18,rodriguez,alonso,Spanish,alpine,12,9,58,0,10,104,1,5,2.576999999999998,40,0.16200000000000614
2725,2021,18,rodriguez,latifi,Canadian,williams,13,17,7,0,16,23,0,8,2.8810000000000002,26,0.30400000000000205
2727,2021,18,rodriguez,mick_schumacher,German,haas,14,19,0,0,19,0,0,10,2.983000000000004,22,0.10200000000000387
2726,2021,18,rodriguez,mazepin,Russian,haas,15,18,0,0,21,0,0,10,3.4279999999999973,22,0.4449999999999932
2724,2021,18,rodriguez,russell,British,williams,16,16,16,0,15,23,0,8,2.296999999999997,23,-1.1310000000000002
2728,2021,18,rodriguez,tsunoda,Japanese,alphatauri,17,20,20,0,14,94,0,6,1.2830000000000013,21,-1.0139999999999958
2718,2021,18,rodriguez,norris,British,mclaren,18,10,149,0,5,254,1,3,20.955,21,19.671999999999997
2721,2021,18,rodriguez,ocon,French,alpine,19,13,46,1,11,104,1,5,2.530000000000001,25,-18.424999999999997
2722,2021,18,rodriguez,stroll,Canadian,aston_martin,20,14,26,0,13,62,0,7,4.998000000000005,23,2.4680000000000035
2748,2021,20,losail,hamilton,British,mercedes,1,1,0,6,2,0,7,1,0.0,36,
2758,2021,20,losail,gasly,French,alphatauri,2,11,92,0,9,112,0,6,0.8130000000000024,25,0.8130000000000024
2750,2021,20,losail,alonso,Spanish,alpine,3,3,62,0,10,112,1,5,0.8430000000000035,40,0.030000000000001137
2756,2021,20,losail,norris,British,mclaren,4,9,151,0,5,256,1,4,0.9039999999999964,22,0.06099999999999284
2754,2021,20,losail,sainz,Spanish,ferrari,5,7,0,0,7,0,0,3,1.0130000000000052,27,0.10900000000000887
2767,2021,20,losail,bottas,Finnish,mercedes,6,20,203,1,3,0,7,1,0.6510000000000105,32,-0.36199999999999477
2749,2021,20,losail,max_verstappen,Dutch,red_bull,7,2,0,9,1,0,10,2,0.5970000000000084,24,-0.054000000000002046
2760,2021,20,losail,tsunoda,Japanese,alphatauri,8,13,20,0,14,112,0,6,1.054000000000002,21,0.45699999999999363
2752,2021,20,losail,ocon,French,alpine,9,5,50,1,11,112,1,5,1.2009999999999934,25,0.14699999999999136
2757,2021,20,losail,vettel,German,aston_martin,10,10,42,0,12,68,0,7,1.9579999999999984,34,0.757000000000005
2751,2021,20,losail,perez,Mexican,red_bull,11,4,178,1,4,0,10,2,1.5190000000000055,31,-0.43899999999999295
2753,2021,20,losail,stroll,Canadian,aston_martin,12,6,26,0,13,68,0,7,1.6330000000000098,23,0.11400000000000432
2755,2021,20,losail,leclerc,Monegasque,ferrari,13,8,148,0,6,0,0,3,1.6359999999999957,24,0.002999999999985903
2759,2021,20,losail,ricciardo,Australian,mclaren,14,12,105,1,8,256,1,4,1.7700000000000102,32,0.13400000000001455
2764,2021,20,losail,russell,British,williams,15,17,16,0,15,23,0,8,1.929000000000002,23,0.15899999999999181
2761,2021,20,losail,raikkonen,Finnish,alfa,16,14,10,0,16,11,0,9,2.3290000000000077,42,0.4000000000000057
2766,2021,20,losail,latifi,Canadian,williams,17,19,7,0,17,23,0,8,2.3859999999999957,26,0.05699999999998795
2762,2021,20,losail,giovinazzi,Italian,alfa,18,15,1,0,18,11,0,9,2.4350000000000023,27,0.049000000000006594
2763,2021,20,losail,mick_schumacher,German,haas,19,16,0,0,19,0,0,10,2.5799999999999983,22,0.14499999999999602
2765,2021,20,losail,mazepin,Russian,haas,20,18,0,0,21,0,0,10,5.032000000000011,22,2.4520000000000124
2768,2021,21,jeddah,hamilton,British,mercedes,1,1,0,7,2,0,8,1,0.0,36,
2770,2021,21,jeddah,bottas,Finnish,mercedes,2,3,203,1,3,0,8,1,0.1110000000000042,32,0.1110000000000042
2769,2021,21,jeddah,max_verstappen,Dutch,red_bull,3,2,0,9,1,0,10,2,0.1419999999999959,24,0.0309999999999917
2774,2021,21,jeddah,leclerc,Monegasque,ferrari,4,7,152,0,6,0,0,3,0.5430000000000064,24,0.40100000000001046
2784,2021,21,jeddah,perez,Mexican,red_bull,5,17,190,1,4,0,10,2,0.612000000000009,31,0.06900000000000261
2773,2021,21,jeddah,gasly,French,alphatauri,6,6,92,0,9,112,0,6,0.6140000000000043,25,0.001999999999995339
2777,2021,21,jeddah,norris,British,mclaren,7,10,153,0,5,258,1,4,0.6690000000000111,22,0.05500000000000682
2781,2021,21,jeddah,tsunoda,Japanese,alphatauri,8,14,20,0,14,112,0,6,0.9310000000000116,21,0.26200000000000045
2771,2021,21,jeddah,ocon,French,alpine,9,4,60,1,11,137,1,5,1.1359999999999957,25,0.20499999999998408
2776,2021,21,jeddah,giovinazzi,Italian,alfa,10,9,1,0,18,11,0,9,1.2430000000000092,27,0.10700000000001353
2772,2021,21,jeddah,ricciardo,Australian,mclaren,11,5,105,1,8,258,1,4,1.1570000000000107,32,-0.08599999999999852
2782,2021,21,jeddah,raikkonen,Finnish,alfa,12,15,10,0,16,11,0,9,1.3740000000000094,42,0.21699999999999875
2780,2021,21,jeddah,alonso,Spanish,alpine,13,13,77,0,10,137,1,5,1.409000000000006,40,0.03499999999999659
2786,2021,21,jeddah,russell,British,williams,14,19,16,0,15,23,0,8,1.5430000000000064,23,0.13400000000000034
2775,2021,21,jeddah,sainz,Spanish,ferrari,15,8,0,0,7,0,0,3,26.141000000000005,27,24.598
2779,2021,21,jeddah,latifi,Canadian,williams,16,12,7,0,17,23,0,8,1.6659999999999968,26,-24.47500000000001
2783,2021,21,jeddah,vettel,German,aston_martin,17,16,43,0,12,77,0,7,1.6870000000000118,34,0.021000000000015007
